empresa,en_PIQ,vacante,senal,relevancia_astute,nota
HARMAN International,SI,"Process Engineer SMT | Launch Engineer | Industrial Engineering Manufacturing | Technician Productions & Operations | Manager MBU",SMT EXPLICITO,ALTA,"Confirmado en LinkedIn publico, no solo en resumen de buscador. El empleador mas activo en SMT en Queretaro. Ya tenemos 47 contactos."
Valeo,SI,"Electronic Engineer x2 | Electronic Systems Trainee | Industrial Digital Engineer | R&D Trainee",ELECTRONICA FUERTE,ALTA,"Cinco vacantes de ingenieria electronica en Queretaro. Refuerza que la planta de Av. Industria Minera 502 hace tarjetas. Ya tenemos 42 contactos."
Bosch Mexico,NO (La Estancia Qro),"Ingeniero de prueba || ICT || SMT | Maintenance Engineer | Process Engineer",SMT + ICT EXPLICITO,ALTA,"ICT = in-circuit test, va junto a la linea SMT. Bosch NO esta en el PIQ pero si en Queretaro. Ya tenemos contactos de Bosch Mexico en la base."
Eaton,SI,"Buyer | Procurement Operation Lead | Supply Planning Lead | Order Entry Specialist",COMPRAS ABIERTAS,ALTA,"No es senal de SMT sino de COMPRAS: esta contratando comprador y lider de compras en Queretaro. Area de compras en movimiento = momento para entrar."
TE Connectivity,NO,"MGR II OPERATIONS",FABRICANTE DE COMPONENTES,MEDIA,"TE fabrica conectores. Es proveedor, no comprador de distribucion. Util como referencia de competencia."
Arrow Electronics,NO,"Asociado de Almacen I",COMPETIDOR DIRECTO,INTELIGENCIA,"Arrow es distribuidor de componentes electronicos: competencia directa de Astute. Que abra almacen en Queretaro dice que el mercado local lo justifica."
EXFO,NO,"Quality Technician Mexico",ELECTRONICA,MEDIA,"Ya esta en la lista de correos en riesgo (Lizbeth Alvarez, correo inferido). Sirve para conseguir contacto valido."
Inteva Products,NO,"Application Engineer - Motor/Electronics",ELECTRONICA,MEDIA,Electronica automotriz en Queretaro.
ALTEN Mexico,NO,"Ingeniero de confiabilidad de componentes electronicos | Analog Layout Engineer | Embedded SW",SERVICIOS DE INGENIERIA,BAJA,"Es ingenieria por contrato, no fabricante. No compra componentes en volumen."
Siemens,NO,"Electrical Engineering | Product Engineer (Electrical Design) | Quality Engineering Specialist",ELECTRONICA,MEDIA,Ya es cuenta conocida con comprador identificado (Daniel Vences).
Zebra Technologies,NO,"Operador de Prensa Senior | Machine Operator Support",NO ES SMT,BAJA,Flexografia y conversion. No aplica.
